,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request,constraint,collections_events_type,user,collection_name,collection_logical_name,start_after_collection_ids,vertical_scaling,scheduler,start_time,end_time,average_usage,maximum_usage,random_sample_usage,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,sample_rate,cpu_usage_distribution,tail_cpu_usage_distribution,cluster,event,failed
0,0,2,94591244395,3,1,200,0,144,168846390496,"{'cpus': 0.020660400390625, 'memory': 0.014434814453125}",[],2,fn8Ve4Tdl/FVVvwXFGIKe4+Wo4zLjUL/557qdFVYu5M=,Hzsv/gF8CPQXdqpsfovDTC1TJNyphDxPu7vaTeNxA74=,YCuhYrnORLiUh9WGL5q5tkBevfwtucSnFr2qPZh6Kes=,[],1,0,274800000000,275100000000,"{'cpus': 0.00466156005859375, 'memory': 0.00592041015625}","{'cpus': 0.01190185546875, 'memory': 0.0059356689453125}","{'cpus': 0.0043487548828125, 'memory': None}",0.01443481445,0.0004148483276,,,1,"[0.00314331 0.00381088 0.00401306 0.00415039 0.00432587 0.00449371
  0.00463104 0.00478363 0.00498962 0.00530243 0.01194763]","[0.00535583 0.00541687 0.00548553 0.00554657 0.00563812 0.00590515
  0.00687408 0.00946045 0.0113678 ]",7,FAIL,1
1,2517305308183,2,260697606809,2,0,360,221495397286,335,85515092,"{'cpus': 0.00724029541015625, 'memory': 0.0013027191162109375}",[],2,DrrEIEWkWuW7RrZwpHLCN0k0A2J0usJeyt3wtqzZ7Kk=,hDGffcrF/rhQQEG8Uns/RMUK7R15DXjFnRasoKFhefI=,wcRcAMuop2OqH9EW4feH919tadFec5a11ply0hcS/C8=,[],2,0,1800713000000,1800714000000,"{'cpus': 0.0, 'memory': 9.5367431640625e-07}","{'cpus': 0.0, 'memory': 9.5367431640625e-07}","{'cpus': 0.0, 'memory': None}",0,0,,,1,"[1.23977661e-05 1.23977661e-05 1.23977661e-05 1.23977661e-05
  1.23977661e-05 1.23977661e-05 1.23977661e-05 1.23977661e-05
  1.23977661e-05 1.23977661e-05 1.23977661e-05]","[1.23977661e-05 1.23977661e-05 1.23977661e-05 1.23977661e-05
  1.23977661e-05 1.23977661e-05 1.23977661e-05 1.23977661e-05
  1.23977661e-05]",7,FAIL,1
2,195684022913,6,276227177776,2,0,103,0,376,169321752432,"{'cpus': 0.048583984375, 'memory': 0.0041656494140625}",[],6,/ivQBmewiFcXfGJdCUsEKx47NiRE29Tjiq3gw+zR2Cg=,kk6+maA6fvAdJ+VTU8AcpzQPTyVrx+ySt0MXRAyO8FU=,zCA2dl2PDptd82Hob906gE82JHzx0SbqA4mZurqZdmY=,[],2,1,81300000000,81600000000,"{'cpus': 0.024200439453125, 'memory': 0.002788543701171875}","{'cpus': 0.06005859375, 'memory': 0.00284576416015625}","{'cpus': 0.026458740234375, 'memory': None}",0.01042175293,0.0002346038818,0.9399186373,0.001317982445,1,"[0.01344299 0.01809692 0.0201416 0.02246094 0.02374268 0.02490234
  0.02606201 0.0269165 0.02764893 0.02877808 0.03137207]","[0.02902222 0.02929688 0.0295105 0.0296936 0.02987671 0.03012085
  0.03036499 0.03063965 0.03097534]",7,SCHEDULE,0
3,0,2,10507389885,3,0,200,0,1977,178294817221,"{'cpus': 0.0704345703125, 'memory': 0.0416259765625}",[],2,8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=,fypwFjdqaQPSxCfeqVPCBAvFcnntmkRpQxwQ/vJsCxU=,uNjMQD1+DL9IgCFckx8lHOsCbyvLgKmZCmRjiyWZNhk=,[],2,0,1075500000000,1075800000000,"{'cpus': 0.047607421875, 'memory': 0.034423828125}","{'cpus': 0.13330078125, 'memory': 0.03466796875}","{'cpus': 0.05084228515625, 'memory': None}",0.04162597656,0.0002250671387,1.359101772,0.007642852142,1,"[0.03704834 0.04125977 0.04290771 0.04425049 0.04559326 0.04675293
  0.04785156 0.04907227 0.05108643 0.05505371 0.06970215]","[0.05535889 0.05584717 0.05633545 0.05718994 0.059021  0.05987549
  0.06164551 0.06347656 0.06555176]",8,FAIL,1
4,1810627494172,3,25911621841,2,0,0,0,3907,231364893292,"{'cpus': 0.00244903564453125, 'memory': 0.00023174285888671875}",[],3,#ERROR!,WS2kraTQdfsFtOIepw9SIo7ETi2ag8uwy7gt2MrpIe0=,VJ0ExwthLLpbqbyOA77EoNypzEiPYg3mECxUve0GCnY=,[],3,0,1565315000000,1565317000000,"{'cpus': 0.000270843505859375, 'memory': 7.62939453125e-05}","{'cpus': 0.00041484832763671875, 'memory': 7.62939453125e-05}","{'cpus': 0.0003414154052734375, 'memory': None}",0.0002717971802,9.54E-06,,,1,"[0.  0.  0.  0.  0.  0.0002079
  0.00041485 0.00041485 0.00041485 0.00041485 0.00041485]","[0.00041485 0.00041485 0.00041485 0.00041485 0.00041485 0.00041485
  0.00041485 0.00041485 0.00041485]",2,FINISH,0
5,1626744497194,6,235085571060,0,0,103,0,345,34202965855,"{'cpus': 0.0615234375, 'memory': 0.00540924072265625}",[],6,xlapNnqYDKgT7u9TD2X4dy8GpkM+D+v7FNzWXsBLeyc=,996RtMs3FHUuWlsGfE7/2aXRbePcVcf0kpYi2F+Byq8=,lX8LtVRuA/L7yyr6x3zVEWCoN3xxDzgcYXShuh9KUZU=,[],3,1,1626600000000,1626761000000,"{'cpus': 0.0794677734375, 'memory': 0.00323486328125}","{'cpus': 0.21923828125, 'memory': 0.00405120849609375}","{'cpus': 0.03631591796875, 'memory': None}",0.005409240723,0.001844406128,,,1,"[3.52859497e-05 1.76429749e-04 1.55067444e-03 4.40063477e-02
  8.56933594e-02 1.01928711e-01 1.11694336e-01 1.17675781e-01
  1.24023438e-01 1.32324219e-01 1.59912109e-01]","[0.13305664 0.1340332 0.13500977 0.13598633 0.14086914 0.14428711
  0.14794922 0.15014648 0.15454102]",5,SCHEDULE,0
6,130721370174,0,275444626052,1,0,117,0,13138,10129440520,"{'cpus': 0.00566864013671875, 'memory': 0.0015621185302734375}","[{'name': '5dEuieuWMFy+CNMBBf/uXNX5nP4Kgzeu0O6UizRNK3w=', 'value': '0', 'relation': 3}
  {'name': '9eCGRtl6XN5GQoOYGEjKtupBbtUoOaOPYRFw+pzH7IU=', 'value': '0', 'relation': 1}]",0,jW2GJpOlCheoSzGcwfmRjkjV6mYZo4DC43ej/X/OyjM=,dofW6DHLUdjD9tYkZ/hat2bA6+e2GD+yBwbpmUgPLks=,Q+ko0Cb6Sy8WkHKRTMcgJQz2RhdSkBtrNnARybcK4k8=,[],1,0,343800000000,344100000000,"{'cpus': 0.0042572021484375, 'memory': 0.001316070556640625}","{'cpus': 0.012481689453125, 'memory': 0.0016536712646484375}","{'cpus': 0.003154754638671875, 'memory': None}",0.00218963623,5.72E-06,0.6466888785,0.007937499322,1,"[0.00023937 0.00050068 0.00242233 0.00288773 0.00331116 0.00376511
  0.00482178 0.00593567 0.00666046 0.00740051 0.01254272]","[0.00743866 0.00748444 0.00752258 0.00760651 0.00769043 0.00777435
  0.0080719 0.01062012 0.01078796]",7,ENABLE,0
7,2373350421416,3,193223725812,2,0,103,0,393,447672988,"{'cpus': 0.022003173828125, 'memory': 0.0015010833740234375}",[],3,062wDMRDwqEvJU9SCE4WQ4ShulGBVG8WGeEcNoN23GA=,ZzY6C4/jBIeLrGNhYjEtwYJejtfAq9iSPeoA6gwV5Wg=,592j9ILjNCrNYFRzL91wGpX5mwQqY531R/tbmkwtYag=,[],2,1,455400000000,455700000000,"{'cpus': 0.0064697265625, 'memory': 0.0007581710815429688}","{'cpus': 0.027984619140625, 'memory': 0.000782012939453125}","{'cpus': 0.005615234375, 'memory': None}",0.001474380493,5.91E-05,1.767993569,0.0175051745,1,"[0.00054169 0.00374603 0.00450134 0.00513458 0.00567627 0.00614929
  0.00667572 0.00741577 0.00836182 0.00971985 0.01538086]","[0.0098877 0.01011658 0.01023865 0.01055908 0.01075745 0.01109314
  0.01142883 0.0118103 0.01313782]",7,FINISH,0
8,1970214287222,0,236368116431,0,0,0,0,19760,4236232523,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}","[{'name': '9eCGRtl6XN5GQoOYGEjKtupBbtUoOaOPYRFw+pzH7IU=', 'value': '0', 'relation': 1}]",0,ly4HE4d+6E8BqXgm6E1eGNKu8OiiZE+Gj/D4YUMRFDU=,EVN94d9fIFzR7ApTSdBG8VyV7YEmR+GB2LpjJ7QtWlM=,uXg7PS0QinS0hu2jPMkHebkDJpZMywmqm/pOwvdFE5s=,[],1,0,2249100000000,2249400000000,"{'cpus': 0.0002002716064453125, 'memory': 0.0006771087646484375}","{'cpus': 0.0008182525634765625, 'memory': 0.00067901611328125}","{'cpus': 0.0004930496215820312, 'memory': None}",0.006683349609,9.54E-07,3.492854834,0.009505981579,1,"[0.00013638 0.00014305 0.00015068 0.00015831 0.00016499 0.00017262
  0.00018597 0.00020313 0.00022125 0.00027275 0.00087166]","[0.00028133 0.00029087 0.00029945 0.00030804 0.00033474 0.00039577
  0.00049305 0.00051975 0.0005722 ]",5,ENABLE,0
